CO,CO2,HC,FUEL
105926.16126,2988517.856173,551.5978,953231.634545
79853.170617,2622478.328296,423.975437,836474.317054
55616.557498,1833699.199379,295.234761,584883.781669
14414.586152,898383.991846,85.904314,286547.297788
53949.678281,2918138.657612,316.932677,930756.493518
97844.555029,3002897.728143,514.93156,957816.455122
89504.177997,3638771.438013,494.234384,1160618.454072
28066.927204,1547653.585172,162.911174,493635.769687
117639.544895,3618542.420035,618.669216,1154181.719388
43718.903912,2695878.169044,261.224261,859865.191447
63153.54679,2316845.714932,342.422966,738979.811555
93481.089523,3165973.496093,498.674097,1009823.230134
36088.003505,1373786.784327,196.019795,438184.918064
81392.506637,2718775.513836,432.205532,867185.750166
23129.476369,2480664.36409,160.754702,791214.997178
49062.58504,2115224.773782,272.042627,674672.430347
67484.467708,3310100.402809,384.826586,1055781.957003
144966.172045,3624014.973893,744.345256,1155938.761316
38370.323292,1065433.444881,199.41052,339835.907485
111048.798324,2972351.454555,574.473781,948078.614951
81170.917816,2574990.128469,428.911339,821328.750316
68411.780426,2473714.424718,368.418393,789020.924837
70347.663235,2298488.262845,373.181773,733133.424778
104766.486584,4030209.097242,575.436452,1285469.942331
57459.468066,3019040.028768,335.603609,962940.299127
104956.49585,2571315.373614,537.415,820165.741675
25326.28272,1100177.273854,140.559947,350913.166157
51221.361818,1810937.14122,274.838342,577621.975082
74152.853005,3567244.611806,425.370304,1137795.659384
98801.86206,2885053.863059,516.707056,920229.726779
90682.086256,3371915.601923,491.020671,1075509.611571
44094.826395,2688269.094279,267.833001,857434.01119
93800.125288,3375303.534893,504.362662,1076592.90141
61213.775153,2493681.7002,336.399595,795384.107357
22958.190786,1141021.899387,130.698669,363939.793965
126598.476947,4331750.098746,680.403946,1381656.426119
79580.627445,2806778.362217,425.759828,895252.683038
64170.983985,2118703.682459,341.325763,675786.648794
137667.415511,3945970.388274,718.058089,1258624.582858
44768.936759,1393847.46007,235.804419,444588.06304
80045.92561,2870419.420016,431.079899,915551.787741
66101.301124,2203166.273023,351.698489,702727.988517
88341.553996,2824034.191668,466.99307,900765.83258
72333.273257,3515327.7094,413.457775,1121238.25343
86764.980539,2793897.945525,459.663131,891150.942707
60084.72612,2359674.923446,328.420097,752641.58102
58755.786225,2285999.036711,320.648576,729142.239806
81768.012418,2884651.159985,439.946246,920090.071274
110106.261864,3166135.11582,574.301348,1009887.191974
70914.859043,2829004.395743,389.146515,902336.7261
75805.610027,2367077.460375,400.007914,755011.063786
22655.928181,1271778.303127,133.197903,405639.347879
119281.894197,3822244.797681,630.596945,1219151.431213
82916.028592,2404921.229982,433.453409,767083.403083
131052.609178,4287419.34533,696.132045,1367525.859895
51011.803819,2090101.328298,280.446083,666657.781387
99059.046919,2802546.201707,515.903533,893914.129035
97922.668343,3965178.416678,542.8719,1264724.787118
50397.815986,2713480.83506,296.199371,865479.137361
76557.3586,2421455.022462,404.568287,772353.750153
98015.400985,2950302.805468,513.603372,941039.890618
74033.31438,2912755.503043,405.471784,929051.068071
84770.895791,2952679.834177,455.573437,941787.259681
53764.65368,2033468.109611,291.436889,648595.539483
47605.317746,2743508.649046,284.028017,875055.594395
80141.556582,2489214.367524,421.539684,793968.832389
74919.920877,2706611.695335,405.105302,863298.225881
84289.796389,3354408.202621,460.55148,1069921.241555
77147.394536,2166463.126943,401.161846,691027.46437
96289.503551,2863030.178181,504.262828,913203.493773
32186.335978,1649466.065256,185.728466,526107.45152
90242.18717,2960015.263299,478.638711,944133.458468
9060.013657,586799.969913,54.67616,187164.309409
39531.882278,1793776.922831,221.765896,572139.194459
88694.181339,2821492.866925,468.877369,899950.513968
71765.278943,2475704.74138,384.250475,789655.107372
46035.70159,2664851.505434,275.871166,849966.610884
40876.974957,1679378.709464,225.10064,535654.740184
59631.763984,2233864.757178,322.420566,712517.879634
103714.135032,3117708.40336,544.191865,994438.77895
71096.477973,2082080.634964,371.635265,664111.541776
115007.572177,3330203.026788,600.353966,1062219.572769
77691.218495,3533878.14321,439.230517,1127156.297572
69973.740154,2086333.499849,366.647982,665467.059784
74342.861615,2433578.814293,394.477611,776222.964426
84091.318176,2681270.26522,445.054455,855224.529969
105347.093829,3126529.925741,551.755097,997253.519794
109790.359169,3142780.168223,572.803337,1002435.550505
140721.251989,3387667.500001,719.06954,1080556.744144
77958.926832,3148284.413099,429.759287,1004174.287036
92420.978926,2944453.591434,487.951249,939170.336568
63394.096885,3168541.386565,365.8013,1010626.602379
98382.04632,2951228.228657,516.049295,941336.994307
69321.281803,2198036.376216,366.763388,701090.520227
47842.448622,1432192.516961,250.924283,456818.425474
3864.801985,210868.9298,22.539168,67257.80108
33438.335809,2493742.410877,209.656087,795389.539621
92508.256305,3774689.982051,514.396045,1203965.292427
78791.714268,3527763.904407,445.015682,1125205.956557
52991.505597,2183436.925493,291.878105,696429.238134
78586.816935,2469780.375743,414.851538,787770.670206
87402.524917,2642180.317841,458.654748,842760.453653
73561.619107,3698623.605807,425.42466,1179698.233121
20823.962984,962699.654531,116.855832,307063.112221
86491.909618,3034632.483901,467.481832,967926.648636
82368.253109,2561239.48562,434.190787,816943.077213
17725.534912,845526.040449,99.622894,269688.320303
96893.977431,3052094.457864,512.003073,973505.511274
83817.643921,3057567.278454,453.764268,975242.418353
136011.605821,3619732.569452,703.237996,1154570.98932
54615.680478,1362012.667911,280.295865,434436.74834
93869.172561,3000730.767151,495.835974,957122.992167
80428.289517,2655093.095281,426.299497,846874.840125
89173.003414,2897580.965875,472.896701,924220.941681
99587.641517,2741409.413145,516.657569,874416.272906
96942.080212,3806931.800964,534.665009,1214251.908941
97066.053396,2486042.645402,499.680686,792964.0939
97878.90871,2491596.726862,503.340699,794736.605851
87663.951256,2729229.143068,462.132914,870525.455425
71925.429858,2277557.780996,379.953496,726457.143693
90067.259494,2302818.609446,463.511896,734521.885837
53424.298962,1488410.639469,277.711008,474751.475103
57277.643991,2969025.245333,332.891067,946988.372264
84683.553341,2382173.649317,440.719031,759830.58768
39680.268512,2078134.428935,229.510348,662835.323332
70931.971297,2470060.338484,379.167265,787856.219376
81407.1943,2894984.273418,438.430048,923384.152019
119332.629142,3115091.818381,615.205849,993610.303686
133275.59538,3459274.629652,686.485607,1103388.44625
57004.324549,3035622.106283,334.852356,968228.319975
45890.211505,1662566.751653,247.066497,530296.771845
98868.936855,2943020.746059,517.959565,938719.112674
64637.775541,3150265.778725,371.256338,1004797.008464
46655.152625,1603164.341945,249.25319,511350.743876
121738.542516,3364906.952054,632.127004,1073289.230791
141730.937686,3654121.481899,729.681362,1165543.364661
122026.521392,3272148.221804,631.2647,1043704.644433
90646.581023,2853597.240527,480.438046,910186.429192
59325.552994,2433203.583109,327.336497,776090.496289
78893.13962,2562045.006687,418.116087,817199.485799
39101.540099,1685269.531042,216.843463,537533.097635
44113.956267,1742672.914158,241.174666,555843.225644
68749.468292,2373576.224445,367.347714,757081.938973
136697.962656,4455427.322657,725.526869,1421114.260231
86162.461204,2593746.04404,452.296556,827311.995171
114073.681163,3166830.7206,592.009058,1010110.067738
68758.939859,2339411.59905,365.946697,746182.582643
118145.996367,2942143.391763,606.390233,938445.297614
116209.008476,3495139.327538,609.986308,1114822.196483
97467.02954,3323312.932756,520.455354,1060008.531161
87555.626818,2569417.926465,457.884195,819554.927218
93716.962962,2552882.757013,485.688618,814282.310942
100755.15145,2903178.850857,525.90068,926012.150098
112097.449268,3341392.96586,587.50545,1065786.754959
86142.629075,2761490.20914,456.189751,880813.032741
103974.575946,3816250.901324,562.14012,1217230.535917
100204.822235,3318607.909693,534.43421,1058507.243883
83851.813048,2964441.905204,449.537706,945541.887425
74766.863324,3088517.282072,414.260549,985110.709418
46354.319113,1838891.957485,253.35322,586535.671364
68036.101336,2444806.121193,366.164114,779797.232614
60276.084343,2077368.220579,322.30059,662602.733667
150936.96388,4969130.206701,805.625015,1584961.633036
116355.99585,3050969.496149,600.187091,973157.245246
70205.717047,3254810.794513,398.853138,1038144.330789
75756.12479,2331864.555444,398.585366,743780.270427
73506.444548,2647122.525976,395.627396,844329.8995
41703.011076,1378559.193083,221.783725,439709.137757
68843.818655,2666446.878831,374.740511,850492.983544
3796.954114,235167.356128,22.70731,75008.311816
112078.482499,2916970.685985,577.462583,930417.161073
109778.71829,3289202.425753,575.99338,1049136.094765
37543.556254,2487526.528236,230.55316,793407.06876
85876.519302,2756038.221507,455.612684,879069.325853
64839.758737,3180829.999945,374.859597,1014541.354558
102031.033317,3056844.597547,535.366399,975023.826574
76406.676034,2529896.307853,406.050048,806942.818738
64477.233514,2282238.165222,345.044509,727945.630215
131450.893902,3810730.269749,686.480102,1215489.881608
103781.4693,2639685.941322,533.585815,841972.217734
73487.688774,3323667.398831,417.614506,1060104.875908
71698.29872,3316159.15467,410.127175,1057705.956959
74891.757861,2623252.0902,402.021112,836714.578471
107316.313757,3423940.26884,567.251503,1092110.818649
32320.285996,1643290.158819,185.443423,524139.198723
31183.003892,1215915.788094,169.961318,387830.167601
76810.019699,2604742.276406,409.642151,830817.343976
121288.542932,3759797.712444,638.929829,1199236.602213
99784.049452,2842886.057956,520.280727,906780.070438
93776.143176,2964862.412359,495.129406,945685.13486
91382.364351,2580777.920999,475.855882,823177.769654
83969.278434,2623257.066193,442.387825,836723.806915
100253.938984,2741830.371374,519.758535,874550.141893
62043.077988,1858310.212779,325.39362,592734.88797
55988.132532,1990439.455362,300.754591,634874.058471
82627.686229,2730023.81041,438.505737,870777.690319
83214.081564,2396730.750805,433.585235,764471.946163
82812.280065,2341457.61157,431.351505,746842.230629
55619.531042,2960489.283295,324.571684,944265.669008
98164.936206,2957851.529411,515.298781,943449.37272
105654.815483,3027384.831297,551.130073,965629.696428
77942.498181,2154762.034349,404.889417,687294.114215
76870.685149,3416619.539048,434.836937,1089752.317065
57520.691512,2080588.120829,309.187931,663627.081497
80602.841592,2417385.020699,422.419093,771057.732328
87994.5893,2606316.824403,460.582419,831324.513041
86046.395547,2529510.231865,450.231435,806824.335776
89358.829006,2704177.297062,469.495083,862533.465899
116762.415683,3246119.208226,605.223561,1035398.554669
69672.489975,2189174.232955,368.058884,698265.12602
93131.600233,2767231.579477,488.065599,882648.100186
56199.749461,3070713.002846,328.249309,979423.721249
