vecID,parkingID,started,ended,duration
0,parkingArea_-225853134_0_680,18369.0,26240.0,7871.0
1,parkingArea_8922291#0_0_762,18127.0,22925.0,4798.0
2,parkingArea_8919338_0_468,18473.0,28824.0,10351.0
3,parkingArea_-27397692_0_397,18515.0,19559.0,1044.0
4,parkingArea_8916922#3_0_423,18638.0,21542.0,2904.0
5,parkingArea_283537380#1_0_469,18495.0,23054.0,4559.0
6,parkingArea_8922307_0_62,18510.0,29254.0,10744.0
7,parkingArea_24310636#1_0_934,18548.0,29315.0,10767.0
8,parkingArea_359898521#0_0_374,18660.0,24328.0,5668.0
9,parkingArea_143617589#2_0_527,18467.0,27263.0,8796.0
10,parkingArea_91181771#0_0_77,18287.0,22409.0,4122.0
11,parkingArea_99231482_0_58,18483.0,21270.0,2787.0
12,parkingArea_364480601#0_0_449,18432.0,19488.0,1056.0
13,parkingArea_91181771#5_0_513,18374.0,21004.0,2630.0
14,parkingArea_8915752_0_467,18455.0,23354.0,4899.0
15,parkingArea_254299142#3_0_508,18422.0,25087.0,6665.0
16,parkingArea_-225518512#1_0_517,18279.0,27524.0,9245.0
17,parkingArea_225518512#0_0_107,18483.0,22984.0,4501.0
18,parkingArea_8922263#1_0_440,18693.0,20316.0,1623.0
19,parkingArea_47172745_0_65,18639.0,19914.0,1275.0
20,parkingArea_91181771#5_0_513,18401.0,20545.0,2144.0
21,parkingArea_35675861#1_0_461,18326.0,26381.0,8055.0
22,parkingArea_8916922#3_0_423,18458.0,26945.0,8487.0
23,parkingArea_8919338_0_468,18562.0,21539.0,2977.0
24,parkingArea_-p4#0_0_102,18507.0,22354.0,3847.0
25,parkingArea_35675861#0_0_89,18456.0,20085.0,1629.0
26,parkingArea_27054213#6_0_357,18639.0,22363.0,3724.0
27,parkingArea_135110258#0_0_410,18373.0,24828.0,6455.0
28,parkingArea_8919616#1_0_491,18300.0,27102.0,8802.0
29,parkingArea_224199013#1_0_353,18413.0,23317.0,4904.0
30,parkingArea_206662304#13_0_660,18157.0,22103.0,3946.0
31,parkingArea_111089307#4_0_960,18484.0,26381.0,7897.0
32,parkingArea_32931798#2_0_297,18691.0,28780.0,10089.0
33,parkingArea_224316522#0_0_572,18330.0,23497.0,5167.0
34,parkingArea_133733593#1_0_571,18468.0,29267.0,10799.0
35,parkingArea_28843496_0_299,18617.0,23616.0,4999.0
36,parkingArea_255330036#13_0_94,18412.0,22762.0,4350.0
37,parkingArea_-225518512#1_0_517,18504.0,23316.0,4812.0
38,parkingArea_27398048#2_0_237,18677.0,27879.0,9202.0
39,parkingArea_-225518512#1_0_517,18414.0,27748.0,9334.0
40,parkingArea_8922164#1_0_320,18408.0,23498.0,5090.0
41,parkingArea_88597553#2_0_369,18458.0,27740.0,9282.0
42,parkingArea_-99231475_0_428,18461.0,27976.0,9515.0
43,parkingArea_26988030#3_0_1200,18640.0,24590.0,5950.0
44,parkingArea_-254971068_0_334,18684.0,24499.0,5815.0
45,parkingArea_-43100739_0_743,18210.0,22346.0,4136.0
46,parkingArea_206662304#13_0_660,18997.0,28609.0,9612.0
47,parkingArea_225432462#0_0_60,18299.0,26173.0,7874.0
48,parkingArea_225518512#0_0_107,18666.0,28196.0,9530.0
49,parkingArea_31129732#0_0_532,18510.0,20348.0,1838.0
50,parkingArea_27054213#4_0_345,18644.0,21358.0,2714.0
51,parkingArea_8916922#3_0_423,18469.0,28748.0,10279.0
52,parkingArea_123741465_0_169,18605.0,27285.0,8680.0
53,parkingArea_-242896157#0_0_442,18550.0,27312.0,8762.0
54,parkingArea_255330057#0_0_483,18906.0,20561.0,1655.0
55,parkingArea_8915752_0_467,18545.0,28794.0,10249.0
56,parkingArea_35675861#1_0_461,18506.0,26268.0,7762.0
57,parkingArea_8922263#1_0_440,18687.0,21023.0,2336.0
58,parkingArea_8920975#2_0_1138,18771.0,20722.0,1951.0
59,parkingArea_88466052#1_0_438,18576.0,19537.0,961.0
60,parkingArea_247966218#3_0_791,18164.0,23362.0,5198.0
61,parkingArea_-37177689#5_0_814,18721.0,19942.0,1221.0
62,parkingArea_254306572#0_0_372,18560.0,27372.0,8812.0
63,parkingArea_224199018#4_0_322,18413.0,21051.0,2638.0
65,parkingArea_111319423_0_83,18675.0,23490.0,4815.0
66,parkingArea_99231463#0_0_394,18550.0,20550.0,2000.0
67,parkingArea_35675861#0_0_89,18668.0,25161.0,6493.0
68,parkingArea_35675861#0_0_89,18423.0,20572.0,2149.0
69,parkingArea_35675861#1_0_461,18706.0,25546.0,6840.0
70,parkingArea_24310636#2_0_938,18603.0,25556.0,6953.0
72,parkingArea_91181767_0_670,18457.0,26883.0,8426.0
73,parkingArea_254758122#4_0_1183,18502.0,21244.0,2742.0
74,parkingArea_225806031#2_0_677,18394.0,28174.0,9780.0
75,parkingArea_28231602#0_0_18,18543.0,20358.0,1815.0
76,parkingArea_-25371463_0_928,18301.0,28728.0,10427.0
77,parkingArea_91181771#0_0_77,18378.0,25442.0,7064.0
78,parkingArea_99231463#0_0_394,18660.0,25848.0,7188.0
79,parkingArea_-35675861#0_0_462,18566.0,20797.0,2231.0
80,parkingArea_24335490#0_0_439,18591.0,26415.0,7824.0
81,parkingArea_88463829#0_0_44,18822.0,23213.0,4391.0
82,parkingArea_8922858#0_0_539,18470.0,22499.0,4029.0
83,parkingArea_91181771#0_0_77,18737.0,23651.0,4914.0
84,parkingArea_24335490#0_0_439,18468.0,27115.0,8647.0
85,parkingArea_242896157#1_0_435,18390.0,23509.0,5119.0
86,parkingArea_26938124#5_0_326,18483.0,26184.0,7701.0
87,parkingArea_99231460_0_88,18820.0,25451.0,6631.0
88,parkingArea_-8922307_0_63,18564.0,26071.0,7507.0
89,parkingArea_254306572#0_0_372,18551.0,20074.0,1523.0
90,parkingArea_8919328#0_0_377,18535.0,19526.0,991.0
91,parkingArea_225518502#3_0_85,18502.0,24694.0,6192.0
92,parkingArea_283512618#0_1_373,19097.0,23838.0,4741.0
93,parkingArea_-87297168_0_1209,18368.0,24415.0,6047.0
95,parkingArea_228186482#0_0_71,18768.0,27297.0,8529.0
96,parkingArea_225806056_0_688,18847.0,23820.0,4973.0
97,parkingArea_-202485361#1_0_445,18856.0,28337.0,9481.0
98,parkingArea_283537552#1_0_458,18814.0,21690.0,2876.0
99,parkingArea_-88559691#6_0_82,18695.0,22665.0,3970.0
100,parkingArea_8916922#3_0_423,18473.0,24731.0,6258.0
101,parkingArea_120256350#3_0_52,18697.0,27282.0,8585.0
102,parkingArea_88466052#1_0_438,18779.0,20777.0,1998.0
103,parkingArea_-8922307_0_63,18776.0,29562.0,10786.0
104,parkingArea_-35675861#1_0_460,18553.0,26922.0,8369.0
105,parkingArea_91181771#3_3_519,18729.0,28408.0,9679.0
106,parkingArea_255330036#9_0_492,18752.0,29381.0,10629.0
107,parkingArea_111319423_0_83,18965.0,25764.0,6799.0
108,parkingArea_88572877#0_0_74,18980.0,22612.0,3632.0
109,parkingArea_99231482_0_58,18753.0,21388.0,2635.0
110,parkingArea_255330056#0_0_390,18890.0,23730.0,4840.0
111,parkingArea_133733593#1_0_571,18650.0,28106.0,9456.0
112,parkingArea_287958606#0_0_568,18730.0,26504.0,7774.0
113,parkingArea_143617589#2_0_527,18825.0,28654.0,9829.0
114,parkingArea_-228202845#2_0_628,18555.0,27026.0,8471.0
115,parkingArea_254756520#0_0_352,18644.0,22666.0,4022.0
117,parkingArea_329607867_0_466,18618.0,25564.0,6946.0
118,parkingArea_278995391#0_0_106,18912.0,28177.0,9265.0
119,parkingArea_-254466686#4_0_360,18560.0,25232.0,6672.0
120,parkingArea_-35675861#1_0_460,18911.0,25422.0,6511.0
121,parkingArea_254971067#0_0_370,18818.0,27239.0,8421.0
122,parkingArea_224373753_0_53,18839.0,22249.0,3410.0
123,parkingArea_-254971064#1_0_426,19130.0,23692.0,4562.0
124,parkingArea_283537552#1_0_458,18980.0,21015.0,2035.0
125,parkingArea_8916867#2_0_325,18953.0,21580.0,2627.0
126,parkingArea_27146036#0_0_296,18729.0,23954.0,5225.0
127,parkingArea_27054213#4_0_345,18637.0,27977.0,9340.0
128,parkingArea_88463829#0_0_44,18921.0,22005.0,3084.0
129,parkingArea_8919328#1_0_378,18650.0,24719.0,6069.0
130,parkingArea_-35675861#1_0_460,18741.0,22694.0,3953.0
131,parkingArea_-228201785#0_0_110,18656.0,24131.0,5475.0
132,parkingArea_8918381#1_0_536,18747.0,20665.0,1918.0
133,parkingArea_111319423_0_83,18912.0,23499.0,4587.0
134,parkingArea_8922263#1_0_440,18870.0,26586.0,7716.0
135,parkingArea_364480601#0_0_449,18589.0,27751.0,9162.0
136,parkingArea_254306572#0_0_372,18824.0,21050.0,2226.0
137,parkingArea_290080809#4_0_626,18805.0,23766.0,4961.0
138,parkingArea_120256350#3_0_52,18924.0,20210.0,1286.0
139,parkingArea_-254466686#4_0_360,18866.0,22481.0,3615.0
140,parkingArea_286003244#9_0_598,18684.0,23450.0,4766.0
141,parkingArea_-27398032#0_0_399,19056.0,24191.0,5135.0
142,parkingArea_88466055#0_0_436,18909.0,26635.0,7726.0
143,parkingArea_27397692_0_57,19275.0,23629.0,4354.0
144,parkingArea_120256350#3_0_52,19012.0,20354.0,1342.0
145,parkingArea_8919328#0_0_377,18962.0,28780.0,9818.0
146,parkingArea_91181771#3_3_519,18782.0,23229.0,4447.0
147,parkingArea_99231475_0_55,18974.0,27823.0,8849.0
148,parkingArea_225518502#3_0_85,18797.0,21240.0,2443.0
149,parkingArea_-255330036#7_0_494,19191.0,25163.0,5972.0
150,parkingArea_88559680#5_0_474,19003.0,20606.0,1603.0
151,parkingArea_-88559680#4_0_486,19201.0,20600.0,1399.0
