CO,CO2,HC,FUEL
32208.637823,1560777.119419,181.758887,497823.971647
65069.924701,2752506.54015,360.590674,877936.821824
87922.042038,3289988.99145,478.502324,1049374.377166
112443.142021,4080861.408845,610.147268,1301630.447641
29888.970086,755790.524725,153.600745,241072.004066
8234.256676,300454.709061,44.384702,95833.780944
54696.287315,2290450.72672,301.793089,730562.862148
102082.596719,3920345.799584,555.837843,1250435.606822
67700.590086,2045563.31655,355.494622,652461.861719
64794.747661,2555122.031647,353.892803,814981.647391
73576.815444,2326192.114269,388.776755,741970.070571
64532.654363,1818370.724767,335.943123,579996.79444
22440.652411,1927235.820405,147.242775,614698.051257
105231.107964,2954131.800078,546.73746,942262.472279
38405.52731,1146621.715924,201.292224,365731.834909
61637.941263,1799277.460599,322.01425,573905.00309
54394.908324,1534788.875894,283.091926,489544.531063
53721.561125,1442225.718689,277.940044,460021.064507
23212.886325,2465284.049163,161.197312,786308.897667
40313.949637,1794818.135543,224.389573,572472.333125
69905.98866,2661589.688789,380.550871,848940.467265
32093.318943,1172619.063816,173.153743,374021.130574
57899.908162,1972094.311108,308.849244,629025.942585
54170.619018,2498662.190472,308.140002,796964.366466
46857.694431,1210482.516457,241.371478,386103.431547
70621.120093,3437492.738022,404.30067,1096412.683094
67446.278985,2865892.244581,375.522363,914100.594586
62804.378493,2693757.287117,352.021315,859193.163371
57801.372798,2045921.377665,310.537656,652570.888878
46561.300202,1890700.084045,256.43572,603054.885218
130959.450605,3998593.363504,687.747708,1275405.799173
86179.381939,3019196.304877,460.833007,963005.524924
63256.695511,2342037.121651,341.802445,747019.52916
98940.394934,3974967.036053,548.511208,1267844.706544
33273.149476,1987726.108494,199.085887,633996.195718
115443.23639,4403674.244991,629.33295,1404597.160212
67053.792501,2431658.085672,363.066811,775601.940536
93793.885437,2906633.554586,494.154033,927111.714811
102023.491252,2988985.506248,533.220189,953382.411815
80777.11049,2616526.528969,428.574881,834573.487267
51027.428044,1785524.860204,272.540463,569516.830086
115868.9894,3380647.618286,605.469106,1078309.009063
76265.477957,2510143.111832,405.025461,800643.922037
56225.536014,2222468.282348,307.383778,708878.186333
111839.717011,3109278.418708,581.237844,991751.473439
113993.505735,4629660.486448,630.293222,1476671.946511
130488.845812,3895839.59389,683.979475,1242636.024384
99963.820335,3153442.834291,527.208265,1005836.879496
33322.313778,2352913.358565,202.115507,750475.571552
56841.849281,1839053.964105,301.319491,586590.737918
59863.772965,1990575.150418,318.279923,634921.05687
119907.699011,3306627.902192,622.577733,1054699.825985
99421.528041,3904826.985392,548.855683,1245475.437879
74760.777648,2732010.247937,403.819667,871404.138744
49841.049497,2156073.088915,277.624038,687696.175967
85880.985054,2766406.967165,454.991731,882382.381753
60474.10713,2531740.164249,334.05543,807521.061647
49087.399763,1432887.468735,256.048188,457040.59051
113890.770908,3309807.56875,594.066175,1055710.406859
68665.226371,2162975.083218,362.863932,689908.163373
151899.479988,3796822.063596,779.278452,1211057.903417
117153.049653,2933589.467535,601.560205,935716.219196
83366.819362,2184730.732671,430.049652,696855.782194
74396.706086,2506545.479768,396.633991,799493.295782
24829.246404,1039676.506642,136.880404,331616.781194
45746.914185,1484684.054127,242.485313,473559.656968
47137.883861,1664802.966656,252.800764,531010.144266
62963.504227,2282479.016273,338.846895,728024.741388
103590.490686,2937119.911398,539.569957,936838.472854
27309.77057,2289710.826091,178.820263,730310.501978
19743.107617,824285.355835,108.698726,262915.46321
114596.062756,3118268.625232,593.646487,994618.904128
120017.307907,3428985.836724,626.065082,1093721.859782
100712.409857,2930416.99402,526.406432,934699.64412
80351.546,2524724.613984,424.990072,805290.505945
89518.322852,2842104.781821,473.269519,906527.540438
97739.746275,2944245.446773,512.941428,939109.509659
37735.685125,1166319.468913,198.447138,372013.142121
41585.241102,2514919.682281,253.297129,802142.631011
99498.381317,3898693.99732,543.184307,1243528.436561
9604.990195,266978.726546,49.918968,85156.871415
43509.560524,1222430.678788,226.397703,389912.946673
108545.072039,3046691.492388,564.780047,971788.112119
11752.448557,944989.510424,74.938813,301408.563515
44877.759186,1513612.660664,239.271668,482786.484739
32850.148282,2574542.501511,209.383671,821161.954668
57424.17969,2956500.223944,335.685739,942988.374614
65076.504427,3288188.509301,376.894681,1048786.292358
46893.127793,1109047.162441,239.330542,353749.964207
15220.712787,723730.98168,85.914514,230840.971332
100111.970594,4006659.746532,553.605175,1277957.667266
46966.410667,2138501.343922,267.329151,682088.188389
27105.915467,701508.227984,139.732977,223757.148258
113412.266306,3521031.179507,596.553954,1123079.992911
75984.299503,1933348.186751,391.007515,616672.279079
51788.281712,2999476.857444,308.817072,956700.668183
46752.940388,1378865.24704,244.782863,439809.181115
90387.152671,2818642.496169,476.470152,899045.601902
91206.665394,3115387.066777,486.859577,993688.37297
22971.117184,1281593.362543,135.008244,408769.590153
54916.82969,3097743.114137,320.269825,988046.610208
75777.52837,3578609.343659,433.153536,1141420.127103
108410.861855,3342306.70371,570.016263,1066073.496076
124295.598587,3763572.933781,652.46953,1200445.403175
45629.531824,1315508.08774,238.139077,419601.298534
109611.453935,4124400.175321,596.872258,1315518.250799
61259.793274,2283753.773211,331.687061,728427.348602
46643.26796,2722356.755033,280.359981,868306.371609
76666.988993,3581635.212968,433.843354,1142388.936736
85327.428639,3263280.739613,467.30234,1040854.579696
47692.981364,2389447.270613,273.677254,762130.798132
97008.979821,2976120.965883,509.149067,949272.644869
73946.642669,2381858.64056,391.561711,759723.756385
117838.347038,4601302.723532,646.261259,1467627.933735
99024.761212,3831298.050274,538.711384,1222034.533751
67496.4567,3180093.422618,386.154656,1014309.901328
103146.168066,3203643.067425,543.08563,1021843.13664
92522.68404,2890632.802264,489.405839,922001.322088
49478.508827,1923866.188626,270.150114,613636.346605
60295.287921,2105605.552631,322.988995,671609.834562
93419.472949,2690605.311767,487.352531,858209.967708
68760.77966,2288894.427803,365.96532,730071.524467
133063.624224,3369388.623291,684.216955,1074721.423294
62752.781434,3003141.038514,357.314912,957873.34902
74180.661929,2429059.419309,394.196677,774776.437937
86892.679969,3616273.13922,483.007095,1153439.829457
54271.915904,2854327.417098,315.807767,910405.38676
56727.348581,3027248.349889,331.506921,965558.783625
78878.925941,3431855.426253,439.56765,1094621.859616
15405.147215,601001.402004,83.820285,191697.071249
56667.832557,2062352.058177,306.541815,657808.591248
135946.225331,4442272.48462,724.675986,1416915.021053
55210.127206,2115055.078033,299.947867,674620.618564
16513.597811,1107353.675956,100.410795,353195.532144
95023.791588,3078965.825512,502.325972,982073.463911
116108.64323,3300025.860566,604.902311,1052594.005574
81164.956816,3007552.981552,438.216804,959291.022087
117956.695991,3510004.887388,617.843272,1119566.238458
90812.458417,2782774.198373,477.745631,887605.521351
73884.287797,1722345.150409,376.446244,549372.186182
53212.074963,3037014.193561,310.211157,968677.454456
43999.670274,1855127.699018,243.074959,591710.4704
87001.096315,2618780.404124,456.671869,835297.318821
39324.846551,1511677.466742,213.951955,482166.376256
75338.287138,2579865.08992,402.734955,822878.192066
77667.681429,1850283.106639,396.283694,590181.731141
19318.633573,1000509.979253,110.839434,319121.81717
