CO,CO2,HC,FUEL
11968.899973,955691.787864,76.051828,304822.185234
20351.983589,1185685.703277,119.781821,378180.708739
22810.037891,1282276.707161,134.194085,408987.819103
20201.4465,1002619.931908,114.851176,319795.114224
38648.74394,1705917.618061,215.725842,544116.407826
36593.616647,1046290.987349,190.877718,333729.861064
61220.176915,3123176.703504,357.132231,996151.283133
32663.939499,1182997.502299,175.992155,377330.751417
40340.311206,1741608.142907,223.255926,555501.452496
20526.160545,1048582.59747,117.447816,334455.297326
62812.940773,3124471.357947,363.702149,996567.680442
23084.294204,2488224.287902,160.907806,793626.15647
43273.703809,2653135.447509,257.395293,846232.014067
60412.169331,2135485.835556,325.464704,681135.917623
37714.189509,2542181.204461,231.146506,810840.706043
50822.803958,2359935.581109,285.891234,752718.715988
58222.112793,2115152.145734,314.828742,674647.966218
75925.304133,3506802.105573,432.509231,1118515.836708
62679.693822,2360771.72663,341.423493,752991.695531
44982.687435,1653266.741091,242.898991,527329.423086
44640.85572,2767063.551006,270.554904,882568.089133
46327.646092,1873213.214893,253.908951,597481.494724
81000.155262,2159388.298001,418.362779,688769.333367
44380.160425,1846466.507156,244.881006,588947.917711
53103.654463,2091791.982392,289.227953,667198.343169
44223.964123,1980017.410519,246.629323,631545.962743
55082.100279,2003352.318086,296.68735,638993.439886
56426.380752,2082561.730606,304.98874,664257.215344
58510.721988,2309776.808627,319.75628,736727.500518
82035.712984,3494769.169087,460.111338,1114679.783453
58819.718518,1616206.769709,304.827393,515513.570478
62583.267063,2704767.613878,348.31402,862709.39778
67999.495871,2225056.363109,360.913105,709710.65877
52482.174282,2172237.511107,289.063638,692855.554161
47161.475533,1855849.082217,257.21444,591942.518128
61595.640743,3047357.594305,353.400828,971975.601792
80138.309787,2870777.006929,432.216894,915663.088777
60125.392218,2127351.334263,322.652062,678545.899099
59763.883544,2193449.35404,322.638767,699623.55036
69261.124576,3252780.666053,395.807023,1037495.846946
46099.539368,1743970.124458,249.850393,556258.747605
71554.246532,2530878.693606,385.216441,807250.36477
46865.317244,2641155.22362,278.423273,842410.393447
54804.872874,2197838.373059,300.161825,701024.363911
70620.482928,2489136.393386,379.212295,793937.197315
39076.992176,1698002.478449,216.863185,541594.260721
83540.404217,2535241.320236,439.160413,808648.916724
72683.448535,2850513.839617,397.541012,909198.426121
66411.833134,2038418.650554,349.498684,650182.250259
71259.125046,2685424.369954,386.571328,856544.220956
59278.198051,2074466.311255,317.919977,661675.981471
