CO,CO2,HC,FUEL
16073.712696,1173082.653693,100.754187,374157.78686
12029.925272,959070.362493,76.209742,305899.918612
18824.375335,1185580.170589,112.697666,378147.050726
23698.491016,2476451.484793,163.305509,789870.962708
70489.427857,3282707.67095,403.12486,1047037.751817
41492.806121,2656267.162697,250.405363,847230.155393
40515.712128,2562478.078822,244.144158,817316.031387
66487.697786,2150326.95896,353.602021,685871.487159
55818.108741,2994045.904113,327.168619,954968.613363
50101.377888,2359499.258689,283.330132,752578.746108
45666.66424,1873876.557643,250.729306,597692.296061
62356.055372,2174972.029163,333.488681,693731.929459
60348.737111,2302251.172855,329.066864,734325.635489
79158.63958,2113069.77186,408.704949,673995.373982
46560.58592,2029619.556124,258.684927,647367.22723
88765.070698,3710102.140576,495.918721,1183364.119853
53621.741021,2204652.70117,294.919367,703196.289904
58733.917598,2164589.087245,317.316514,690421.434651
62260.523358,2197539.383031,334.06942,700931.908601
77812.360054,2844706.797718,420.963418,907347.344866
55320.766236,2071419.533606,299.434134,660704.616742
56846.622508,1956635.851221,303.678049,624095.130246
92563.598389,3793845.092727,514.586668,1210075.797429
80923.192404,2486695.80885,425.863329,793164.420049
70871.660207,2825958.790544,388.588598,901366.290604
70549.493261,2678134.593825,383.076108,854218.35971
63467.112669,2270868.358854,340.882202,724321.352379
85581.43806,2348998.242782,443.983436,749249.236664
62944.631203,2248044.084732,338.167287,717042.228772
77251.187201,2466050.617753,408.681348,786579.434334
96779.311114,2481346.609227,498.228253,791466.377298
77391.91971,2805760.699242,417.346302,894927.796643
72562.910755,2212453.156008,381.086399,705695.177558
76815.555076,2462028.35286,406.670548,785296.985269
76121.229505,2523319.083166,404.592776,804845.751968
71249.100169,2488040.129668,381.740638,793591.57689
94807.957586,3007106.107936,500.466046,959153.599215
77954.647024,2691239.750192,417.090607,858404.714728
93740.861956,2570227.145001,486.123396,819814.737151
82693.714393,2726086.655223,439.348343,869521.630447
88914.205025,2851734.590696,470.133174,909598.301863
99931.804252,2900298.215116,522.077259,925092.992621
88668.561655,3148313.646628,476.35041,1004192.218413
133966.04795,3465351.940348,689.991718,1105326.967866
107478.007734,3570027.015096,571.472339,1138703.721155
111558.588403,3142016.672194,580.429107,1002195.139717
126820.274314,3616048.518554,661.110484,1153392.256081
120879.40332,3426771.109803,629.515938,1093021.649786
130446.350709,3751682.0508,680.375576,1196657.09907
159750.2315,4522803.267416,832.058198,1442616.578794
