vecID,parkingID,started,ended,duration
0,parkingArea_254759933#2_0_1198,345.0,365.0,20.0
1,parkingArea_8922291#0_0_762,127.0,147.0,20.0
2,parkingArea_8919338_0_468,469.0,489.0,20.0
3,parkingArea_-27397692_0_397,514.0,534.0,20.0
4,parkingArea_27397937_0_384,578.0,598.0,20.0
5,parkingArea_283537380#1_0_469,496.0,516.0,20.0
6,parkingArea_-88466055#1_0_464,729.0,749.0,20.0
7,parkingArea_-24310636#0_0_933,458.0,478.0,20.0
8,parkingArea_359898521#0_0_374,659.0,679.0,20.0
9,parkingArea_143617589#2_0_527,465.0,485.0,20.0
10,parkingArea_91181771#6_0_542,403.0,423.0,20.0
11,parkingArea_99231482_0_58,481.0,501.0,20.0
12,parkingArea_35675861#1_0_461,596.0,616.0,20.0
13,parkingArea_91181771#5_0_513,372.0,392.0,20.0
14,parkingArea_8915752_0_467,454.0,474.0,20.0
15,parkingArea_254299142#3_0_508,421.0,441.0,20.0
16,parkingArea_-225518512#1_0_517,277.0,297.0,20.0
17,parkingArea_225518512#0_0_107,486.0,506.0,20.0
18,parkingArea_359898521#0_0_374,759.0,779.0,20.0
19,parkingArea_47172745_0_65,730.0,750.0,20.0
20,parkingArea_91181771#15_0_723,485.0,505.0,20.0
22,parkingArea_8916922#3_0_423,458.0,478.0,20.0
23,parkingArea_8919338_0_468,558.0,578.0,20.0
24,parkingArea_-p4#0_0_102,508.0,528.0,20.0
25,parkingArea_35675861#0_0_89,455.0,475.0,20.0
26,parkingArea_88597553#2_0_369,817.0,837.0,20.0
27,parkingArea_135110258#0_0_410,339.0,359.0,20.0
28,parkingArea_8919616#1_0_491,318.0,338.0,20.0
29,parkingArea_8916375#1_0_365,424.0,444.0,20.0
30,parkingArea_206662304#13_0_660,157.0,177.0,20.0
31,parkingArea_111089307#4_0_960,482.0,502.0,20.0
32,parkingArea_283512618#0_1_373,782.0,802.0,20.0
33,parkingArea_224316522#0_0_572,369.0,389.0,20.0
34,parkingArea_133733593#1_0_571,468.0,488.0,20.0
35,parkingArea_-28843496_0_300,624.0,644.0,20.0
36,parkingArea_-255330036#11_0_91,388.0,408.0,20.0
37,parkingArea_225518502#0_0_84,550.0,570.0,20.0
38,parkingArea_8916375#1_0_365,689.0,709.0,20.0
39,parkingArea_-225518512#1_0_517,416.0,436.0,20.0
40,parkingArea_-377646101#2_0_1022,456.0,476.0,20.0
41,parkingArea_88597553#2_0_369,457.0,477.0,20.0
42,parkingArea_-99231475_0_428,463.0,483.0,20.0
43,parkingArea_26988030#3_0_1200,641.0,661.0,20.0
44,parkingArea_-254971068_0_334,594.0,614.0,20.0
45,parkingArea_-43100739_0_743,126.0,146.0,20.0
46,parkingArea_206662304#13_0_660,993.0,1013.0,20.0
47,parkingArea_47172745_0_65,290.0,310.0,20.0
48,parkingArea_225518512#0_0_107,575.0,595.0,20.0
49,parkingArea_31129732#0_0_532,462.0,482.0,20.0
