CO,CO2,HC,FUEL
62584.241745,1675603.413474,323.608829,534459.29952
27736.494674,2382108.672033,182.052059,759781.917025
62437.394833,3144745.314124,363.093835,1003031.006941
78210.808361,2390500.44826,411.534493,762482.879232
69400.014134,1937106.286907,360.197728,617868.018411
74730.622356,2914351.537156,408.873668,929560.08368
78375.698673,3523938.742108,443.983641,1123982.726891
96935.973888,2853809.312843,507.282479,910263.996122
48608.80418,1842814.081051,263.776001,587785.758675
33635.967587,2410900.138586,211.192373,768965.880438
90671.187295,3153530.778825,485.790966,1005856.927877
62413.395348,3206703.47169,359.596068,1022800.74609
49425.466688,1960429.28537,270.896148,625296.421296
49663.610465,2700857.036036,292.400344,861453.193554
77901.317986,2662166.364247,415.781226,849131.868191
71844.827266,2304212.186302,380.124839,734960.092732
66293.206453,2182622.720847,352.031428,696175.452225
69043.327384,2747049.409323,377.792079,876195.941162
14003.552556,895871.553434,83.98435,285745.442234
115347.462229,3393802.169702,603.515305,1082504.041731
71320.443858,2399604.209617,378.892258,765382.321641
97714.329118,2970472.279175,513.055192,947476.442437
77071.232765,2438796.224938,406.93442,777885.156995
19574.259763,613524.068819,103.292398,195691.799821
57331.713499,3224911.907442,334.631254,1028607.95252
102821.33176,3801012.885421,554.361148,1212373.749811
110311.869923,3598589.67817,585.209946,1147815.807669
78909.765194,2225776.201383,410.826741,709944.906397
94297.813708,2903362.73747,495.274443,926065.046078
25653.946732,1030153.575055,140.429156,328578.294938
145757.524112,4113389.10323,759.01437,1312026.198862
94154.005216,2569335.591165,488.205885,819529.417238
46796.650535,1372927.019731,244.675584,437913.79809
95859.93404,3901974.757264,529.30872,1244568.693283
96280.553564,2825057.019697,503.475508,901094.117039
118450.793687,3284612.625649,615.531706,1047675.787774
47801.437293,2801905.497965,280.979665,893685.625633
12022.46316,964817.991998,76.358758,307733.077528
89423.422341,2801212.548268,471.779699,893484.909663
88367.896199,2762381.166912,466.10025,881100.17809
107361.90925,2613530.811743,549.346632,833631.400613
74086.077576,3516871.69691,422.094547,1121731.476509
89061.87871,2862915.630925,471.586235,913164.913044
117709.730121,3111979.88031,608.088125,992615.700638
80423.450841,2738821.063509,429.313084,873581.414535
78943.741395,2525640.258422,417.800056,805587.161974
116138.08291,3106093.400931,600.655114,990736.669816
115286.829778,3471440.458405,604.811435,1107267.200503
64420.614185,2999450.376097,368.808852,956689.38779
123742.025003,3297277.691213,638.93783,1051715.78867
83178.261332,2279400.754195,431.492295,727050.148706
40062.612368,2379099.600772,237.862661,758825.904463
105316.864255,4411582.189749,585.618381,1407111.956876
30194.618089,929751.156825,158.980598,296557.086544
107935.820727,3184749.473868,565.232165,1015821.63361
27020.86871,1518618.943163,157.345345,484374.944921
64483.206313,2171771.580275,343.541863,692713.992583
59579.436547,3031353.252368,343.875605,966870.235096
82409.718218,2564529.416834,434.32093,817992.452174
121344.598944,3263215.209491,628.005724,1040854.788094
94329.620237,2887965.44605,496.245519,921156.906315
90239.93207,3622667.810107,500.356135,1155476.475981
86047.39696,2578724.465103,451.378093,822521.791075
79303.233196,2609013.604406,421.243229,832179.791394
93254.061923,3188598.379215,498.402879,1017042.366913
81752.770057,2557234.263951,431.048333,815666.581799
116222.878832,3348086.847911,606.587741,1067922.965652
8255.621515,583208.746393,51.025503,186018.085911
135164.916859,3840473.379767,703.677839,1224979.285574
77058.706618,2455586.983898,407.727743,783241.059189
91045.35042,2596851.572525,474.366775,828303.271989
102507.742767,3076499.634281,537.707434,981290.334005
11982.317848,573190.645881,67.547092,182824.413533
73501.882874,2591788.159191,394.720655,826679.421641
100252.788761,2954020.263925,524.738469,942225.920828
63680.813491,2412908.138298,345.617904,769620.629147
99870.944945,4373664.670511,558.542776,1395018.352679
64230.718208,2545513.321175,351.958797,811915.34881
68018.006469,2053344.649747,357.089485,654944.327288
54781.214826,2022548.825867,297.235223,645112.118278
80552.897869,2954415.198217,436.26027,942339.212025
101096.411392,3027077.747142,530.180183,965530.894204
69554.5205,1911192.429171,361.03924,609603.724365
101688.884624,3908061.935082,557.453,1246511.555643
118588.84269,3592954.878423,622.563085,1146023.55616
130420.347876,4214066.699353,690.292484,1344133.271519
35704.127603,1990718.087537,209.352388,634951.698478
87954.533774,2716439.577746,463.001969,866448.142444
33889.95171,1579144.729547,190.61809,503683.554207
67131.44832,2460675.804566,363.211198,784857.268791
56970.669454,2065815.567357,307.011686,658917.015495
38396.706715,1352758.43749,205.802876,431480.238267
91098.86089,2950024.076526,482.436468,940952.563724
22470.863442,1281365.724309,132.556014,408697.405297
55336.545893,1807464.8341,293.674135,576515.093802
93825.630803,3075929.125163,498.590224,981105.867392
102110.960968,2970208.765009,533.535487,947391.598814
3497.045279,225151.440253,21.097782,71813.438697
92358.121189,3037289.370271,490.793348,968782.448689
79931.295289,2687488.602196,425.942733,857209.502096
55207.406969,2459772.456522,309.069407,784563.865583
66147.72078,2422175.343999,358.727625,772577.218371
72254.206329,2214570.210567,379.704117,706370.428033
34136.960223,1748917.196654,195.977471,557828.606436
77958.922542,2505202.302746,411.905438,799066.206736
79886.394383,2536476.922443,421.786399,809043.536794
97418.780635,2930633.697555,511.460018,934766.779216
104168.328021,2947281.743502,542.258487,940080.88781
42718.421073,2706439.947715,261.563392,863229.515257
137158.65591,3949708.191265,715.24432,1259813.978745
92959.598441,2851647.589997,488.43632,909572.56396
76036.152375,2494937.527926,403.649973,795793.87333
106710.943908,3179384.175564,559.078218,1014106.362851
65162.307788,1920330.639598,341.120265,612517.088918
51808.381602,1916077.186689,279.579723,611158.129518
63351.813826,2402339.760648,343.641634,766254.052191
48296.798821,1819762.525438,262.82717,580430.592469
78396.20399,2609481.040395,417.254854,832327.247805
69515.010136,2409656.35601,372.124095,768589.466514
74884.203409,2508136.852381,399.027609,800001.642398
84652.985358,2634836.805181,446.900302,840413.615248
52835.454607,2283132.605863,293.92599,728224.506254
81292.749694,3502300.846792,453.945761,1117087.922716
97297.926767,2989666.751315,513.205675,953590.989036
92692.015834,2977698.827045,490.303629,949774.957923
63200.284831,2947431.311526,361.734235,940100.781631
86712.144654,2788249.668056,458.883621,889348.664698
105267.185983,3128891.654305,551.382885,998006.177974
167350.414675,4334104.538519,862.17219,1382434.710999
73737.494741,2772102.032759,400.553307,884189.247443
15374.795416,922957.680664,91.003795,294385.482059
