vecID,parkingID,started,ended,duration
0,parkingArea_26988030#3_0_1200,18289.0,21846.0,3557.0
1,parkingArea_8922291#0_0_762,18127.0,25208.0,7081.0
2,parkingArea_283537380#1_0_469,18468.0,27601.0,9133.0
3,parkingArea_-27397692_0_397,18491.0,26879.0,8388.0
4,parkingArea_8916922#3_0_423,18638.0,28021.0,9383.0
5,parkingArea_283537380#1_0_469,18497.0,23103.0,4606.0
6,parkingArea_8922307_0_62,18512.0,26000.0,7488.0
7,parkingArea_-24310636#0_0_933,18548.0,21872.0,3324.0
8,parkingArea_27571801_0_414,18649.0,25619.0,6970.0
9,parkingArea_143617589#2_0_527,18468.0,27363.0,8895.0
10,parkingArea_91181771#0_0_77,18288.0,24219.0,5931.0
11,parkingArea_99231482_0_58,18482.0,19869.0,1387.0
12,parkingArea_364480601#0_0_449,18432.0,26695.0,8263.0
13,parkingArea_91181771#5_0_513,18374.0,20076.0,1702.0
14,parkingArea_8915752_0_467,18454.0,26419.0,7965.0
15,parkingArea_254299142#3_0_508,18422.0,27454.0,9032.0
16,parkingArea_-225518512#1_0_517,18279.0,27341.0,9062.0
17,parkingArea_225518512#0_0_107,18484.0,26675.0,8191.0
18,parkingArea_-8916922#4_0_52,18661.0,22692.0,4031.0
19,parkingArea_47172745_0_65,18730.0,21778.0,3048.0
20,parkingArea_91181771#5_0_513,18400.0,23251.0,4851.0
21,parkingArea_35675861#1_0_461,18324.0,28937.0,10613.0
22,parkingArea_8916922#3_0_423,18459.0,21619.0,3160.0
23,parkingArea_8919338_0_468,18561.0,26828.0,8267.0
24,parkingArea_-p4#0_0_102,18509.0,20804.0,2295.0
25,parkingArea_8918460#0_0_56,18515.0,21118.0,2603.0
26,parkingArea_27054213#6_0_357,18639.0,23860.0,5221.0
27,parkingArea_135110258#0_0_410,18371.0,25718.0,7347.0
28,parkingArea_254299117#1_0_500,18307.0,19647.0,1340.0
29,parkingArea_224199018#1_0_319,18385.0,28416.0,10031.0
30,parkingArea_206662304#13_0_660,18157.0,21712.0,3555.0
31,parkingArea_111089307#4_0_960,18485.0,24398.0,5913.0
32,parkingArea_32931798#2_0_297,18692.0,21986.0,3294.0
33,parkingArea_224316522#0_0_572,18371.0,19800.0,1429.0
34,parkingArea_133733593#1_0_571,18468.0,28252.0,9784.0
35,parkingArea_28843496_0_299,18618.0,21950.0,3332.0
36,parkingArea_255330036#13_0_94,18412.0,22865.0,4453.0
37,parkingArea_-225518512#1_0_517,18504.0,24226.0,5722.0
38,parkingArea_27398048#2_0_237,18676.0,27061.0,8385.0
