vecID,parkingID,started,ended,duration
0,parkingArea_26988030#3_0_1200,18289.0,24384.0,6095.0
1,parkingArea_8922291#0_0_762,18127.0,22402.0,4275.0
2,parkingArea_283537380#1_0_469,18467.0,27777.0,9310.0
3,parkingArea_-27397692_0_397,18492.0,24297.0,5805.0
4,parkingArea_8916922#3_0_423,18637.0,25998.0,7361.0
5,parkingArea_283537380#1_0_469,18497.0,19618.0,1121.0
6,parkingArea_8922307_0_62,18511.0,25021.0,6510.0
7,parkingArea_-24310636#0_0_933,18547.0,25720.0,7173.0
8,parkingArea_27571801_0_414,18647.0,22961.0,4314.0
9,parkingArea_143617589#2_0_527,18467.0,25502.0,7035.0
10,parkingArea_91181771#0_0_77,18288.0,24318.0,6030.0
11,parkingArea_99231482_0_58,18483.0,22449.0,3966.0
12,parkingArea_364480601#0_0_449,18430.0,26031.0,7601.0
13,parkingArea_91181771#5_0_513,18374.0,21540.0,3166.0
14,parkingArea_8915752_0_467,18454.0,24751.0,6297.0
15,parkingArea_254299142#3_0_508,18421.0,26121.0,7700.0
16,parkingArea_-225518512#1_0_517,18279.0,22802.0,4523.0
17,parkingArea_225518512#0_0_107,18485.0,27469.0,8984.0
18,parkingArea_8916922#3_0_423,18646.0,25908.0,7262.0
19,parkingArea_47172745_0_65,18730.0,26712.0,7982.0
20,parkingArea_91181771#5_0_513,18400.0,25383.0,6983.0
21,parkingArea_35675861#1_0_461,18324.0,23290.0,4966.0
22,parkingArea_8916922#3_0_423,18459.0,28836.0,10377.0
23,parkingArea_8919338_0_468,18560.0,27089.0,8529.0
24,parkingArea_-p4#0_0_102,18509.0,22156.0,3647.0
25,parkingArea_8918460#0_0_56,18517.0,24863.0,6346.0
26,parkingArea_27054213#6_0_357,18639.0,25578.0,6939.0
27,parkingArea_135110258#0_0_410,18371.0,28384.0,10013.0
28,parkingArea_254299117#1_0_500,18307.0,22739.0,4432.0
29,parkingArea_224199018#1_0_319,18384.0,20732.0,2348.0
30,parkingArea_206662304#13_0_660,18157.0,23876.0,5719.0
31,parkingArea_111089307#4_0_960,18484.0,20535.0,2051.0
32,parkingArea_32931798#2_0_297,18691.0,28317.0,9626.0
33,parkingArea_224316522#0_0_572,18371.0,21854.0,3483.0
34,parkingArea_133733593#1_0_571,18467.0,24244.0,5777.0
35,parkingArea_28843496_0_299,18619.0,22268.0,3649.0
36,parkingArea_255330036#13_0_94,18412.0,22168.0,3756.0
