CO,CO2,HC,FUEL
13786.262073,1002918.488226,85.607793,319885.50133
21068.985349,1199676.405854,123.250543,382643.570908
22894.392099,1294141.394621,134.935821,412772.232948
22397.838201,1029303.269326,125.345645,328306.773459
39453.120395,1692718.117815,219.086168,539906.689953
37866.885803,1059592.043989,196.941587,337972.649795
62151.643429,3112741.949876,361.093209,992824.385504
33831.825375,1198872.953236,181.793478,382394.636357
20800.714818,1048314.902144,118.763468,334369.578107
41194.760275,1759592.521389,227.715352,561238.268608
64151.136338,3137148.842503,370.029704,1000611.400415
23567.0118,2454267.973636,161.958154,782795.429515
44085.555768,2674573.632762,261.341718,853070.618098
61245.711508,2138752.346634,329.233758,682178.303691
39471.645846,2575970.851403,239.763222,821618.362809
49811.598191,2335345.355572,280.409885,744875.817622
59060.072658,2102428.950048,317.950492,670590.963865
76745.745629,3522155.167434,436.523491,1123413.453807
64910.634342,2418735.444314,353.016026,771479.44577
45721.447156,1636342.349798,245.981928,521931.042313
46092.661777,2792379.697802,277.757619,890642.773808
48252.968246,1903884.692615,263.506361,607264.321881
82091.273235,2148651.255434,422.987517,685345.141906
45970.742723,1869225.761006,252.83244,596207.471183
54848.20553,2108341.384267,298.293423,672476.796409
57225.846194,2053875.912202,307.743361,655108.246813
49785.336888,2082884.078286,274.709534,664357.248998
56758.143266,2084722.308717,306.555011,664946.496293
59484.577608,2306370.970968,324.230102,735641.505279
82422.446972,3484862.557893,461.724617,1111520.487829
68841.164591,2297942.611091,366.284044,732957.423586
64273.475926,2726604.66466,356.681681,869674.429847
51259.620923,2070593.949571,280.533745,660438.988722
68967.686592,2275061.362253,366.488157,725659.744922
81581.260298,2903711.511984,439.837441,926167.638951
64104.46308,3105235.68343,366.945996,990436.127442
61389.723481,2162306.134521,329.27397,689694.920563
60544.730582,2156116.916898,325.81909,687716.561096
71580.214232,2473222.706299,383.155805,788862.247074
72798.204383,2531714.345811,390.977292,807517.409298
65535.833573,2277703.60277,350.949523,726502.036119
74084.644926,2904574.040252,405.382386,926441.036092
67564.305245,2053781.905246,355.152533,655082.649736
73019.318146,2692277.154117,394.643158,858730.775311
65293.63237,2341469.794946,350.878116,746840.025871
59618.75497,2085045.64068,319.621381,665050.973163
59230.675704,2285481.220293,322.06929,728980.201183
73884.089648,2100329.933625,384.986531,669931.888488
74929.644948,2278737.094676,394.063371,726833.028964
87772.273238,2385541.688048,454.845167,760905.764905
63954.107032,2153186.782817,341.043835,686786.001363
69022.797784,2661051.413958,376.754487,848767.825969
84094.268356,2181691.950681,433.288418,695886.888011
54857.69816,2316730.167126,303.25441,738944.255562
83012.897135,2753770.385901,440.674792,878347.616591
68613.781733,2341724.328107,366.195993,746922.433033
79210.171727,2922577.272267,428.370694,932184.716997
68997.059659,2480199.66495,371.764461,791085.642402
100285.737636,2545565.598599,515.82839,811949.59965
75150.787819,2249100.432662,393.744066,717384.857297
73385.842363,2523346.103366,392.203251,804853.735607
80535.363214,3193565.838727,442.267657,1018617.770673
80643.205241,2522300.409744,425.277084,804523.205296
89257.024589,2900098.996023,473.863904,925020.683613
88055.104744,3068401.387448,471.262899,978702.113113
85226.670299,2971347.265505,457.03759,947744.330513
80944.469468,2743678.945052,431.938039,875131.455771
103515.358972,3907402.408606,565.42184,1246302.100132
86986.870946,2765278.845937,459.880823,882023.488443
78432.274093,2971717.571425,425.960914,947860.656325
93105.469072,2823716.706026,488.834876,900663.672779
78578.998302,2529423.75345,415.991994,806794.621419
90405.708097,4114685.643275,511.234706,1312410.289584
67414.9767,3408818.732466,385.110321,1087268.677234
83757.467074,2385555.21587,436.355309,760909.505407
106496.073218,2986424.698882,554.112608,952564.043923
103148.882275,2956914.941059,538.140553,943151.930797
121589.316606,3271848.928699,628.632381,1043605.040269
98198.436723,2797781.874816,511.60085,892395.932909
85090.439844,2798979.595384,452.173641,892770.853024
102080.131644,2716174.367404,527.583931,866367.561817
93503.667931,3179611.381776,499.559445,1014176.186206
73509.675265,2568151.815046,393.660719,819143.908219
103569.429899,3039587.432739,540.844265,969519.570576
94939.469079,2811828.993605,496.913505,896875.391228
85622.534551,2727200.97469,452.736808,869878.09392
95564.884578,2925617.81093,502.707606,933167.236186
99430.370971,3150182.964837,525.648838,1004792.514203
118828.236358,4210160.021178,642.416466,1342872.90456
121698.427365,3143990.58641,627.21187,1002825.760123
92939.705711,4196384.161493,523.50151,1338470.409887
110073.322507,3226557.919028,575.727761,1029158.819188
103663.875355,3149887.049782,544.431322,1004703.369187
127613.018341,3799923.201458,670.809954,1212033.728721
117002.37564,3229347.764213,607.509206,1030050.522544
113467.47755,3386606.905761,594.92707,1080207.489093
124876.597973,3903423.378709,658.009913,1245048.428963
127001.077187,3774986.983537,664.989074,1204083.757161
155191.123893,4018542.089946,799.291675,1281780.129316
152281.231918,4365590.156297,794.364757,1392470.48275
