vecID,parkingID,started,ended,duration
0,parkingArea_26988030#3_0_1200,18289.0,27850.0,9561.0
1,parkingArea_8922291#0_0_762,18127.0,23035.0,4908.0
2,parkingArea_283537380#1_0_469,18467.0,21446.0,2979.0
3,parkingArea_-27397692_0_397,18492.0,19848.0,1356.0
4,parkingArea_8916922#3_0_423,18637.0,27708.0,9071.0
5,parkingArea_283537380#1_0_469,18497.0,23487.0,4990.0
6,parkingArea_8922307_0_62,18511.0,21438.0,2927.0
7,parkingArea_-24310636#0_0_933,18547.0,26733.0,8186.0
8,parkingArea_27571801_0_414,18647.0,26624.0,7977.0
9,parkingArea_143617589#2_0_527,18467.0,22247.0,3780.0
10,parkingArea_91181771#0_0_77,18288.0,28377.0,10089.0
11,parkingArea_99231482_0_58,18483.0,28394.0,9911.0
12,parkingArea_364480601#0_0_449,18430.0,23267.0,4837.0
13,parkingArea_91181771#5_0_513,18374.0,25015.0,6641.0
14,parkingArea_8915752_0_467,18454.0,27825.0,9371.0
15,parkingArea_254299142#3_0_508,18421.0,26931.0,8510.0
16,parkingArea_-225518512#1_0_517,18279.0,27125.0,8846.0
17,parkingArea_225518512#0_0_107,18485.0,25321.0,6836.0
18,parkingArea_8916922#3_0_423,18646.0,28892.0,10246.0
19,parkingArea_47172745_0_65,18730.0,28359.0,9629.0
20,parkingArea_91181771#5_0_513,18400.0,22570.0,4170.0
21,parkingArea_35675861#1_0_461,18324.0,21690.0,3366.0
22,parkingArea_8916922#3_0_423,18459.0,20005.0,1546.0
23,parkingArea_8919338_0_468,18560.0,22885.0,4325.0
24,parkingArea_-p4#0_0_102,18509.0,25506.0,6997.0
25,parkingArea_8918460#0_0_56,18517.0,21365.0,2848.0
26,parkingArea_27054213#6_0_357,18639.0,22783.0,4144.0
27,parkingArea_135110258#0_0_410,18371.0,21807.0,3436.0
28,parkingArea_254299117#1_0_500,18307.0,24645.0,6338.0
29,parkingArea_224199018#1_0_319,18384.0,29135.0,10751.0
30,parkingArea_206662304#13_0_660,18157.0,24110.0,5953.0
31,parkingArea_111089307#4_0_960,18484.0,26327.0,7843.0
32,parkingArea_32931798#2_0_297,18691.0,27481.0,8790.0
33,parkingArea_224316522#0_0_572,18371.0,27413.0,9042.0
34,parkingArea_133733593#1_0_571,18467.0,27206.0,8739.0
35,parkingArea_28843496_0_299,18619.0,20723.0,2104.0
36,parkingArea_255330036#13_0_94,18412.0,20294.0,1882.0
37,parkingArea_-225518512#1_0_517,18503.0,21860.0,3357.0
38,parkingArea_27398048#2_0_237,18675.0,27784.0,9109.0
39,parkingArea_88559702#0_0_454,18347.0,25134.0,6787.0
40,parkingArea_144489134#2_0_601,18415.0,26629.0,8214.0
41,parkingArea_88597553#2_0_369,18457.0,26340.0,7883.0
42,parkingArea_-99231475_0_428,18460.0,21341.0,2881.0
43,parkingArea_26988030#3_0_1200,18641.0,21977.0,3336.0
44,parkingArea_-254971068_0_334,18684.0,23679.0,4995.0
45,parkingArea_-43100739_0_743,18210.0,25768.0,7558.0
46,parkingArea_206662304#13_0_660,18996.0,21866.0,2870.0
47,parkingArea_225432462#0_0_60,18299.0,25203.0,6904.0
48,parkingArea_225518512#0_0_107,18663.0,29020.0,10357.0
49,parkingArea_31129732#0_0_532,18513.0,20984.0,2471.0
50,parkingArea_27054213#4_0_345,18636.0,29434.0,10798.0
51,parkingArea_8916922#3_0_423,18470.0,22330.0,3860.0
52,parkingArea_254299118#0_0_1350,18621.0,20185.0,1564.0
53,parkingArea_-242896157#0_0_442,18559.0,28468.0,9909.0
54,parkingArea_-242896157#3_0_434,18820.0,26212.0,7392.0
55,parkingArea_8915752_0_467,18544.0,27862.0,9318.0
56,parkingArea_35675861#1_0_461,18505.0,24911.0,6406.0
57,parkingArea_8916922#3_0_423,18648.0,27849.0,9201.0
58,parkingArea_26938124#1_0_1051,18668.0,25094.0,6426.0
59,parkingArea_-242896157#3_0_434,18572.0,29012.0,10440.0
