vecID,parkingID,started,ended,duration
0,parkingArea_26988030#3_0_1200,286.0,306.0,20.0
1,parkingArea_8922291#0_0_762,127.0,147.0,20.0
2,parkingArea_8919338_0_468,466.0,486.0,20.0
3,parkingArea_-27397692_0_397,515.0,535.0,20.0
4,parkingArea_27397937_0_384,577.0,597.0,20.0
5,parkingArea_283537380#1_0_469,497.0,517.0,20.0
6,parkingArea_27397692_0_57,748.0,768.0,20.0
7,parkingArea_-24310636#0_0_933,458.0,478.0,20.0
8,parkingArea_359898521#0_0_374,659.0,679.0,20.0
9,parkingArea_143617589#2_0_527,466.0,486.0,20.0
10,parkingArea_91181771#6_0_542,402.0,422.0,20.0
11,parkingArea_8918460#0_0_56,493.0,513.0,20.0
12,parkingArea_-35675861#0_0_462,520.0,540.0,20.0
13,parkingArea_91181771#5_0_513,373.0,393.0,20.0
14,parkingArea_8915752_0_467,456.0,476.0,20.0
15,parkingArea_254299142#3_0_508,422.0,442.0,20.0
16,parkingArea_-225518512#1_0_517,277.0,297.0,20.0
17,parkingArea_225518512#0_0_107,486.0,506.0,20.0
18,parkingArea_160325575#0_0_47,744.0,764.0,20.0
19,parkingArea_47172745_0_65,731.0,751.0,20.0
20,parkingArea_91181771#15_0_723,485.0,505.0,20.0
22,parkingArea_8916922#3_0_423,459.0,479.0,20.0
23,parkingArea_8919338_0_468,558.0,578.0,20.0
24,parkingArea_-p4#0_0_102,506.0,526.0,20.0
25,parkingArea_35675861#0_0_89,456.0,476.0,20.0
26,parkingArea_88597553#2_0_369,818.0,838.0,20.0
27,parkingArea_135110258#0_0_410,338.0,358.0,20.0
28,parkingArea_8919616#1_0_491,316.0,336.0,20.0
29,parkingArea_224373753_0_53,431.0,451.0,20.0
30,parkingArea_206662304#13_0_660,157.0,177.0,20.0
31,parkingArea_111089307#4_0_960,482.0,502.0,20.0
32,parkingArea_27146036#2_0_294,719.0,739.0,20.0
33,parkingArea_224316522#0_0_572,370.0,390.0,20.0
34,parkingArea_133733593#1_0_571,468.0,488.0,20.0
35,parkingArea_27146036#0_0_296,625.0,645.0,20.0
36,parkingArea_-255330036#12_0_93,410.0,430.0,20.0
37,parkingArea_225518502#3_0_85,562.0,582.0,20.0
38,parkingArea_254756521#3_0_355,699.0,719.0,20.0
39,parkingArea_-225518512#1_0_517,414.0,434.0,20.0
40,parkingArea_8922164#1_0_320,407.0,427.0,20.0
41,parkingArea_88597553#2_0_369,456.0,476.0,20.0
42,parkingArea_-99231475_0_428,459.0,479.0,20.0
43,parkingArea_26988030#3_0_1200,639.0,659.0,20.0
44,parkingArea_-254971068_0_334,594.0,614.0,20.0
45,parkingArea_-43100739_0_743,126.0,146.0,20.0
46,parkingArea_206662304#13_0_660,994.0,1014.0,20.0
47,parkingArea_47172745_0_65,291.0,311.0,20.0
48,parkingArea_225518512#0_0_107,575.0,595.0,20.0
49,parkingArea_31129732#0_0_532,463.0,483.0,20.0
