CO,CO2,HC,FUEL
16181.181167,1174533.352691,101.263263,374620.472313
12195.430787,964337.436337,77.11641,307579.855934
18536.68251,1172329.797427,110.55045,373920.985164
23560.753827,2491000.198169,163.243706,794511.487247
70760.204572,3297562.345768,404.726673,1051775.579329
41688.681598,2652344.328349,251.566474,845978.693395
40933.235252,2572471.840118,246.768146,820503.38216
55848.148664,2992941.814177,327.243845,954616.564202
49893.019751,2343945.786599,281.594152,747618.336574
44851.006423,1844882.186654,246.491894,588444.833872
60266.316587,2298045.018996,328.321477,732984.226344
62030.93771,2171445.081987,331.735627,692606.96458
79154.15456,2098706.641353,408.514344,669414.061106
42622.374804,1958362.002492,238.940414,624638.35008
75691.130641,2358609.087439,400.346055,752307.252357
54668.076007,2007992.283345,294.987606,640472.604022
88091.447945,3699226.225551,492.521051,1179895.423017
57256.822931,2139188.053415,310.013054,682319.222374
78640.110006,2853722.660464,424.950776,910223.260066
56990.686418,1963603.875525,304.491824,626317.642547
91836.982778,3768059.974116,510.615216,1201851.760053
68556.253852,2456047.724232,369.105535,783384.702467
81172.880759,2502342.97507,427.191437,798155.441123
71445.992657,2834750.244221,391.487826,904170.432048
69312.072291,2639658.574848,376.615037,841946.23988
63241.126826,2281611.458181,339.796715,727748.088469
85238.851769,2339282.742502,442.236103,746150.426739
77221.218438,2483109.779924,409.181465,792019.38731
62503.099775,2231913.474161,335.861533,711896.716847
67402.000564,2310956.160904,360.049628,737109.681821
97129.529679,2495697.722896,500.206279,796043.515666
77547.079552,2830813.484029,418.469841,902918.66387
76716.609392,2465473.898869,406.272292,786396.013709
72835.020264,2226722.876239,382.66626,710246.541343
76445.660319,2527466.357863,406.04629,806168.520926
71290.339913,2479020.303362,381.692382,790715.087713
93705.242837,2981946.110585,494.46751,951129.044941
78440.625386,2692019.940696,419.332258,858653.733009
94139.023374,2587541.000852,488.34532,825337.076115
83126.501029,2720796.791585,441.193886,867834.437259
100448.779713,2896723.761162,524.375594,923952.933328
90574.310282,3142477.992144,485.015023,1002331.448076
100811.159199,3061289.792455,529.169304,976440.812777
133386.118349,3476122.258154,687.167546,1108762.639849
107469.965985,3556065.51449,571.550598,1134250.678593
102107.833352,3156662.912137,537.713802,1006863.081946
111724.575048,3178613.642473,581.933203,1013868.387178
127649.441543,3627516.337482,665.170987,1157049.956272
113565.828819,3465861.660573,596.907094,1105487.187492
159941.958713,4544140.441029,833.534457,1449421.480818
