vecID,parkingID,started,ended,duration
0,parkingArea_26988030#3_0_1200,18322.0,20720.0,2398.0
1,parkingArea_8922291#0_0_762,18127.0,21375.0,3248.0
2,parkingArea_8919338_0_468,18472.0,24784.0,6312.0
3,parkingArea_-27397692_0_397,18514.0,20908.0,2394.0
4,parkingArea_27397937_0_384,18578.0,25921.0,7343.0
5,parkingArea_283537380#1_0_469,18496.0,23521.0,5025.0
6,parkingArea_8922307_0_62,18510.0,25949.0,7439.0
7,parkingArea_24310636#1_0_934,18547.0,22973.0,4426.0
8,parkingArea_359898521#0_0_374,18660.0,29068.0,10408.0
9,parkingArea_143617589#2_0_527,18466.0,28516.0,10050.0
10,parkingArea_91181771#0_0_77,18288.0,26091.0,7803.0
11,parkingArea_99231482_0_58,18484.0,20465.0,1981.0
12,parkingArea_364480601#0_0_449,18432.0,21485.0,3053.0
13,parkingArea_91181771#5_0_513,18374.0,25903.0,7529.0
14,parkingArea_8915752_0_467,18454.0,26037.0,7583.0
15,parkingArea_254299142#3_0_508,18422.0,27149.0,8727.0
16,parkingArea_-225518512#1_0_517,18279.0,19833.0,1554.0
17,parkingArea_225518512#0_0_107,18485.0,19883.0,1398.0
18,parkingArea_8922263#1_0_440,18689.0,25717.0,7028.0
19,parkingArea_47172745_0_65,18639.0,21589.0,2950.0
20,parkingArea_91181771#5_0_513,18400.0,23231.0,4831.0
21,parkingArea_35675861#1_0_461,18326.0,19998.0,1672.0
22,parkingArea_8916922#3_0_423,18457.0,20159.0,1702.0
23,parkingArea_8919338_0_468,18562.0,21886.0,3324.0
24,parkingArea_-p4#0_0_102,18507.0,19986.0,1479.0
25,parkingArea_35675861#0_0_89,18455.0,23095.0,4640.0
26,parkingArea_27054213#6_0_357,18639.0,25477.0,6838.0
27,parkingArea_135110258#0_0_410,18371.0,27747.0,9376.0
28,parkingArea_8919616#1_0_491,18300.0,26637.0,8337.0
29,parkingArea_224199018#1_0_319,18385.0,22464.0,4079.0
30,parkingArea_206662304#13_0_660,18157.0,21849.0,3692.0
31,parkingArea_111089307#4_0_960,18483.0,28475.0,9992.0
32,parkingArea_32931798#2_0_297,18690.0,25695.0,7005.0
33,parkingArea_224316522#0_0_572,18332.0,27939.0,9607.0
34,parkingArea_133733593#1_0_571,18468.0,20948.0,2480.0
35,parkingArea_-47108420#3_0_302,18617.0,28029.0,9412.0
36,parkingArea_255330036#13_0_94,18412.0,23287.0,4875.0
37,parkingArea_-225518512#1_0_517,18503.0,25123.0,6620.0
38,parkingArea_27398048#2_0_237,18677.0,20071.0,1394.0
39,parkingArea_-225518512#1_0_517,18414.0,19434.0,1020.0
40,parkingArea_85789166#0_0_690,18420.0,21410.0,2990.0
41,parkingArea_88597553#2_0_369,18458.0,26815.0,8357.0
42,parkingArea_-99231475_0_428,18461.0,22027.0,3566.0
43,parkingArea_26988030#3_0_1200,18642.0,28375.0,9733.0
44,parkingArea_-254971068_0_334,18683.0,22969.0,4286.0
45,parkingArea_-43100739_0_743,18210.0,24397.0,6187.0
46,parkingArea_206662304#13_0_660,18994.0,26506.0,7512.0
47,parkingArea_225432462#0_0_60,18299.0,24506.0,6207.0
48,parkingArea_225518512#0_0_107,18664.0,26879.0,8215.0
49,parkingArea_31129732#0_0_532,18511.0,28351.0,9840.0
50,parkingArea_27054213#4_0_345,18636.0,28740.0,10104.0
51,parkingArea_8916922#3_0_423,18475.0,23384.0,4909.0
52,parkingArea_123741465_0_169,18603.0,21181.0,2578.0
53,parkingArea_-242896157#0_0_442,18548.0,28018.0,9470.0
54,parkingArea_88466052#1_0_438,18831.0,28599.0,9768.0
55,parkingArea_8915752_0_467,18544.0,24831.0,6287.0
56,parkingArea_35675861#1_0_461,18504.0,20611.0,2107.0
57,parkingArea_24335490#0_0_439,18647.0,29218.0,10571.0
58,parkingArea_26938124#1_0_1051,18665.0,25071.0,6406.0
59,parkingArea_88466052#1_0_438,18576.0,21756.0,3180.0
60,parkingArea_247966218#3_0_791,18164.0,21349.0,3185.0
61,parkingArea_-37177689#5_0_814,18721.0,20144.0,1423.0
62,parkingArea_254306572#0_0_372,18560.0,27438.0,8878.0
63,parkingArea_224199018#4_0_322,18412.0,27271.0,8859.0
65,parkingArea_111319423_0_83,18675.0,27414.0,8739.0
