vecID,parkingID,started,ended,duration
0,parkingArea_254759933#2_0_1198,18376.0,23195.0,4819.0
1,parkingArea_8922291#0_0_762,18127.0,20459.0,2332.0
2,parkingArea_8919338_0_468,18472.0,19574.0,1102.0
3,parkingArea_-27397692_0_397,18515.0,23885.0,5370.0
4,parkingArea_8916922#3_0_423,18638.0,25019.0,6381.0
5,parkingArea_283537380#1_0_469,18495.0,26652.0,8157.0
6,parkingArea_8922307_0_62,18510.0,20079.0,1569.0
7,parkingArea_-24310636#0_0_933,18547.0,25249.0,6702.0
8,parkingArea_359898521#0_0_374,18660.0,20948.0,2288.0
9,parkingArea_143617589#2_0_527,18468.0,20548.0,2080.0
10,parkingArea_91181771#0_0_77,18287.0,21459.0,3172.0
11,parkingArea_99231482_0_58,18483.0,27696.0,9213.0
12,parkingArea_364480601#0_0_449,18430.0,23073.0,4643.0
13,parkingArea_91181771#5_0_513,18373.0,20784.0,2411.0
14,parkingArea_8915752_0_467,18454.0,27674.0,9220.0
15,parkingArea_254299142#3_0_508,18422.0,22224.0,3802.0
16,parkingArea_-225518512#1_0_517,18279.0,19384.0,1105.0
17,parkingArea_225518512#0_0_107,18485.0,28802.0,10317.0
18,parkingArea_24335490#0_0_439,18646.0,20018.0,1372.0
19,parkingArea_47172745_0_65,18729.0,21149.0,2420.0
20,parkingArea_91181771#5_0_513,18401.0,24584.0,6183.0
21,parkingArea_35675861#1_0_461,18326.0,27386.0,9060.0
22,parkingArea_8916922#3_0_423,18457.0,28128.0,9671.0
23,parkingArea_8919338_0_468,18557.0,20248.0,1691.0
24,parkingArea_-p4#0_0_102,18509.0,25722.0,7213.0
25,parkingArea_35675861#0_0_89,18455.0,26531.0,8076.0
26,parkingArea_27054213#6_0_357,18640.0,29383.0,10743.0
27,parkingArea_135110258#0_0_410,18370.0,25234.0,6864.0
28,parkingArea_8919616#1_0_491,18300.0,26755.0,8455.0
29,parkingArea_224199013#1_0_353,18414.0,20564.0,2150.0
30,parkingArea_206662304#13_0_660,18157.0,22059.0,3902.0
31,parkingArea_111089307#4_0_960,18485.0,22438.0,3953.0
32,parkingArea_32931798#2_0_297,18691.0,21958.0,3267.0
33,parkingArea_224316522#0_0_572,18332.0,21125.0,2793.0
34,parkingArea_133733593#1_0_571,18467.0,22615.0,4148.0
35,parkingArea_28843496_0_299,18615.0,28207.0,9592.0
36,parkingArea_-255330036#11_0_91,18386.0,23423.0,5037.0
37,parkingArea_-225518512#1_0_517,18505.0,25671.0,7166.0
38,parkingArea_27398048#2_0_237,18679.0,28119.0,9440.0
39,parkingArea_-225518512#1_0_517,18414.0,27897.0,9483.0
40,parkingArea_8922164#1_0_320,18408.0,22572.0,4164.0
41,parkingArea_88597553#2_0_369,18457.0,20660.0,2203.0
42,parkingArea_-99231475_0_428,18461.0,28884.0,10423.0
43,parkingArea_26988030#3_0_1200,18640.0,25765.0,7125.0
44,parkingArea_-254971068_0_334,18682.0,28791.0,10109.0
