CO,CO2,HC,FUEL
31835.192348,1536958.151034,179.70075,490226.506021
65055.481157,2765160.374088,361.309529,881972.388571
88516.046397,3297063.213823,481.189732,1051630.968945
112259.445299,4071247.935262,609.461511,1298563.524568
29798.200586,758630.989737,153.247884,241977.960841
8505.991766,303590.31094,45.741839,96833.797378
101492.823228,4032979.536853,558.579638,1286355.529418
40208.456109,2594959.273617,242.544702,827675.394301
54755.026527,2230969.614281,300.734154,711590.705272
63933.534387,2212687.972808,341.615101,705764.64228
65070.467363,1835766.685154,338.790792,585545.543479
24720.884121,1974516.125056,159.302368,629778.387625
132260.894974,4598138.126699,712.195363,1466626.658981
39788.702286,1183084.506264,208.432025,377362.325777
52427.991044,1405331.598651,271.0639,448253.658773
31494.402593,1145188.14571,169.722736,365272.232064
54163.5311,2484903.523529,308.050624,792576.654032
50528.039474,2812841.891227,299.943413,897170.027124
76625.46773,3588810.207661,435.245366,1144677.661242
89347.523384,2867968.07247,472.589076,914779.974684
68806.926246,1988311.277625,358.530573,634199.006222
13466.03312,1062904.897774,85.438757,339017.521797
67928.578731,2358247.526856,363.535381,752192.225932
60154.449372,2717147.959803,337.568679,866656.866065
86319.6837,4013874.756231,489.904467,1280254.948734
100014.150319,2873855.555484,521.844671,916657.909571
56413.319324,2514260.179762,316.241911,801943.589158
52223.732877,2354826.229854,296.324905,751086.107466
123536.82826,4530557.436602,667.67778,1445072.180155
64821.341856,2327889.592666,348.573527,742509.198098
76119.463499,2398284.428578,401.968914,764965.967742
60956.330082,2183411.065684,327.719498,696426.520864
113803.91809,3215213.943279,592.569772,1025540.529783
80563.126456,2255462.062045,418.935098,719414.183619
100793.820158,3610435.994175,542.673836,1151590.047451
76988.025221,2639635.389891,412.291433,841940.544475
79659.659204,3542722.854061,450.329251,1129974.632072
76493.227162,2219389.358618,399.553264,707907.732906
126248.724294,3473187.821663,655.340337,1107824.013437
61233.510213,2246648.259919,330.553185,716592.635625
133432.57589,4959779.034572,723.336234,1581975.539184
67620.437864,1915033.735075,351.434936,610827.232809
131453.914281,3336321.686649,676.065991,1064173.723507
58093.110246,2533639.960417,325.948063,808123.586154
34753.392607,1324116.366387,188.538057,422343.174967
104335.328437,3483514.742972,555.834915,1111109.296447
78130.240938,2425768.492428,411.237544,773733.353173
38496.948021,2588529.616624,238.790076,825621.932045
124803.881332,3312999.152899,644.340827,1056730.765046
80124.020625,2609278.597687,425.39778,832262.002396
104072.700167,3127166.779797,546.032399,997454.999745
110154.811322,3123039.609303,573.305169,996142.703966
133832.994722,3665082.346599,693.745951,1169035.743173
71417.250991,2517333.830831,383.509289,802931.091218
109653.526081,3572003.044112,581.989137,1139336.058585
61268.059505,3071351.962694,355.270684,979624.031821
23264.136573,1299360.503871,136.741882,414436.697348
54993.756178,2113552.524622,298.900429,674138.00371
83731.686802,2587549.025143,441.219232,825333.991271
44999.690096,1466598.078406,238.576145,467790.919345
60216.025855,3309679.639091,349.824543,1055646.137544
62357.052261,2519654.924387,342.723708,803667.234353
49906.5077,1954463.397193,273.137085,623393.634204
71387.092554,2716364.188033,387.988915,866413.20542
40053.539583,1257542.71874,211.181512,401111.747416
78566.096059,2614122.860882,417.833934,833809.849962
37216.067839,1149053.747948,195.956249,366506.111956
97884.720021,3110679.556279,517.578425,992191.684448
12363.293324,965900.651423,78.252548,308078.206022
40470.118019,2744302.315883,251.522786,875307.405901
35675.922458,945895.109194,184.150757,301707.445211
26954.619699,2174440.705987,172.342435,693546.190786
57506.351112,2255527.763305,313.842713,719422.922145
100209.786533,2966896.943607,524.618584,946334.31409
16662.820033,765962.759745,93.440172,244311.719732
26844.584183,704599.155013,138.614449,224742.876052
33191.98413,1873939.758059,195.433259,597704.125149
71022.508222,1672863.218527,362.163119,533589.866485
77066.922203,1934632.861067,395.91938,617082.889183
91528.68746,3689596.949166,506.277615,1176828.426583
48374.962559,2919003.816918,290.47562,931033.064743
49538.917737,1451387.614273,258.888059,462940.307472
45061.369451,1837348.485053,247.372162,586041.534935
67802.112329,2293261.941103,361.531336,731465.395374
105089.153982,3135892.31486,550.875218,1000239.323737
102437.117531,3219250.44815,541.011297,1026822.571831
96217.401327,2968843.98551,505.028239,946951.580605
91795.751805,2910377.374935,486.314229,928299.137032
44736.261368,1564122.424089,239.506051,498896.413987
79868.230437,2350426.587605,417.704188,749704.189534
50507.097901,2359521.887673,284.463049,752587.211394
54587.032551,2938525.400368,319.263839,937259.902374
102639.627811,4198478.748635,565.440251,1339146.973124
92901.774656,3395460.053638,505.083667,1083014.238071
85558.980619,2666246.186269,451.693486,850432.155239
32721.03318,1284160.007185,178.426521,409595.828372
96972.967464,3265525.008352,516.972826,1041580.280494
121644.048314,4318504.341302,656.416555,1377432.207603
48660.193841,2404129.035286,278.184707,766813.561764
160399.198045,4504979.123874,834.591452,1436932.092817
77924.921646,2465308.153647,412.745127,786340.920926
77671.676744,2027167.649803,400.58113,646598.037184
75950.525253,2764634.150335,410.354306,881806.511027
52046.653477,2076158.478949,285.197061,662210.28821
86991.21608,2679292.483406,458.228284,854596.398071
91537.102387,2858313.132223,482.721926,911699.332756
44184.80559,2607940.269949,264.930405,831815.007738
101287.074749,2741614.311794,523.469782,874477.030875
138047.519589,3954219.67389,720.24375,1261256.493149
100177.309399,2672124.890109,517.842516,852317.51795
56323.99805,2100967.023975,304.892985,670127.765415
76237.119083,3394603.628819,430.629675,1082731.545256
41049.335909,1143126.011352,213.271327,364618.035859
143827.001936,4578970.147939,764.579691,1460516.29438
43886.327843,1346552.766417,230.813459,429502.841413
68563.616564,2785107.713033,374.923119,888337.842965
71504.414311,2547901.197698,384.110868,812685.182505
22363.394146,2461355.858146,156.923324,785056.630723
99782.073768,2537266.860068,513.194928,809303.449772
68146.301366,1643792.320108,348.499413,524315.946942
50825.860301,1823682.752699,273.354058,581684.581555
75336.382301,3541080.549548,425.94115,1129454.513691
95728.334741,2630348.720875,496.682041,838989.92825
107881.094525,4103972.580292,589.863447,1308999.558973
118345.197805,3125058.875936,611.312209,996787.251367
45408.554978,1694321.878611,245.697055,540424.58195
64630.396485,2050573.89293,341.308353,654057.259862
71131.488472,2448081.056844,380.320811,780846.387592
69263.308618,3164016.35668,395.274031,1009179.562496
67281.996131,3146687.11589,379.802544,1003659.969385
90542.872769,2855543.101938,476.911693,910813.414077
60619.74471,2116586.047391,324.695123,675111.335948
130957.250454,3466973.817946,676.554196,1105847.001652
111428.831823,2989708.26703,576.654564,953614.309471
90765.945616,2741785.805584,476.700433,874531.573206
55321.634103,2849013.526302,322.574864,908707.534584
86447.725364,3564965.930627,480.886121,1137074.209207
55474.600105,1794057.569982,293.288045,572239.021254
34253.015046,1263425.366873,184.674048,402986.294346
145712.69991,4839316.05299,775.375443,1543559.828457
59276.92043,2096580.77831,317.459787,668727.551516
59461.516965,2196360.854853,321.515217,700554.940896
92746.670506,2723075.803465,484.711278,868562.863587
68789.218867,2038054.731731,360.274143,650066.854123
37155.832953,2564145.614035,233.184048,817842.450941
39538.709832,2469903.693042,235.519015,787790.074223
114353.183928,3432356.887997,600.185944,1094798.462718
77617.475844,2178948.632298,403.8405,695008.252414
53359.042011,2105920.709328,291.217736,671706.993821
94442.46113,2847361.191196,495.949144,908205.076599
101471.110238,2945516.282545,530.26942,939511.498411
55084.053808,1939669.509811,296.539676,618677.265036
49661.9657,1655289.644359,264.137048,527977.102402
65638.137868,2367853.42553,353.871529,755252.623056
66375.337768,2320257.690981,355.636199,740074.598099
34569.22249,1290157.51606,186.816133,411512.583441
100576.055779,3132436.057717,529.133227,999131.696431
76821.689193,2426317.026865,405.53795,773908.404927
47454.136326,2160633.246327,266.85297,689150.503328
70531.911331,2075467.148763,369.008963,662000.960337
70567.716635,2157197.332577,370.993302,688069.531564
69415.837756,2201477.125275,368.155939,702187.39833
13999.119979,1079118.895505,88.710942,344187.054131
97331.907384,3911864.512484,539.436015,1247719.56487
102156.100792,3082692.076876,536.455887,983268.180399
80282.71911,3380061.640077,449.183587,1078094.774019
113129.723125,2987156.531381,584.428015,952800.633294
114862.160718,2744796.747416,586.54668,875501.88806
53183.462761,2279634.741682,295.532279,727108.3648
8174.868491,632620.080728,51.233037,201777.256783
18843.51662,1213091.434573,112.656617,386923.892048
37886.642325,1131671.255643,198.48241,360963.37039
107327.83661,2943722.960987,556.827811,938946.114477
